"prev","sens","spec","truepos","falsepos","trueneg","falseneg","pos","neg","ppv","npv"
0.47,0.786,0.906,0.36942,0.04982,0.48018,0.04418,0.41924,0.58076,0.881165919282511,0.826813141400923
0.48,0.786,0.906,0.37728,0.04888,0.47112,0.04512,0.42616,0.57384,0.885301295288155,0.820995399414471
0.49,0.786,0.906,0.38514,0.04794,0.46206,0.04606,0.43308,0.56692,0.889304516486561,0.815035631129613
0.5,0.786,0.906,0.393,0.047,0.453,0.047,0.44,0.56,0.893181818181818,0.808928571428571
0.51,0.786,0.906,0.40086,0.04606,0.44394,0.04794,0.44692,0.55308,0.896939049494317,0.802668691690171
0.52,0.786,0.906,0.40872,0.04512,0.43488,0.04888,0.45384,0.54616,0.90058170280275,0.796250183096529
0.53,0.786,0.906,0.41658,0.04418,0.42582,0.04982,0.46076,0.53924,0.904114940533032,0.789666938654403
0.54,0.786,0.906,0.42444,0.04324,0.41676,0.05076,0.46768,0.53232,0.907543619568936,0.782912533814247
0.55,0.786,0.906,0.4323,0.0423,0.4077,0.0517,0.4746,0.5254,0.910872313527181,0.77598020555767
0.56,0.786,0.906,0.44016,0.04136,0.39864,0.05264,0.48152,0.51848,0.914105333111813,0.768862829810214
0.57,0.786,0.906,0.44802,0.04042,0.38958,0.05358,0.48844,0.51156,0.917246744738351,0.761552897020877
0.58,0.786,0.906,0.45588,0.03948,0.38052,0.05452,0.49536,0.50464,0.920300387596899,0.754042485732403
0.59,0.786,0.906,0.46374,0.03854,0.37146,0.05546,0.50228,0.49772,0.92326988930477,0.746323233946797
0.6,0.786,0.906,0.4716,0.0376,0.3624,0.0564,0.5092,0.4908,0.926158680282797,0.73838630806846
0.61,0.786,0.906,0.47946,0.03666,0.35334,0.05734,0.51612,0.48388,0.928970006975122,0.730222369182442
0.62,0.786,0.906,0.48732,0.03572,0.34428,0.05828,0.52304,0.47696,0.931706944019578,0.721821536397182
0.63,0.786,0.906,0.49518,0.03478,0.33522,0.05922,0.52996,0.47004,0.934372405464563,0.713173346949196
0.64,0.786,0.906,0.50304,0.03384,0.32616,0.06016,0.53688,0.46312,0.936969155118462,0.704266712731042
0.65,0.786,0.906,0.5109,0.0329,0.3171,0.0611,0.5438,0.4562,0.939499816108863,0.69508987286278
0.66,0.786,0.906,0.51876,0.03196,0.30804,0.06204,0.55072,0.44928,0.941966879721092,0.685630341880342
0.67,0.786,0.906,0.52662,0.03102,0.29898,0.06298,0.55764,0.44236,0.944372713578653,0.675874853060855
0.68,0.786,0.906,0.53448,0.03008,0.28992,0.06392,0.56456,0.43544,0.946719569222049,0.665809296343928
0.69,0.786,0.906,0.54234,0.02914,0.28086,0.06486,0.57148,0.42852,0.949009589136978,0.655418650238028
0.7,0.786,0.906,0.5502,0.0282,0.2718,0.0658,0.5784,0.4216,0.951244813278008,0.644686907020873
0.71,0.786,0.906,0.55806,0.02726,0.26274,0.06674,0.58532,0.41468,0.953427185129502,0.633596990450468
0.72,0.786,0.906,0.56592,0.02632,0.25368,0.06768,0.59224,0.40776,0.955558557341618,0.622130665097116
0.73,0.786,0.906,0.57378,0.02538,0.24462,0.06862,0.59916,0.40084,0.957640696975766,0.610268436283804
0.74,0.786,0.906,0.58164,0.02444,0.23556,0.06956,0.60608,0.39392,0.959675290390707,0.597989439480098
0.75,0.786,0.906,0.5895,0.0235,0.2265,0.0705,0.613,0.387,0.961663947797716,0.585271317829457
